Rank,MovieName,Worldwide_lifetime_gross(M),Domestic_lifetime_gross(M),Foreign_lifetime_gross(M),DomesticPercentage,ForeignPercentage,Year_of_release
481,Rise of the Guardians,306.94,103.41,203.53,33.7,66.3,2012
482,Close Encounters of the Third Kind,306.89,135.19,171.7,44,56,1977
483,Chicago,306.78,170.69,136.09,55.6,44.4,2002
484,Annabelle: Creation,306.52,102.09,204.42,33.3,66.7,2017
486,Wonder,305.94,132.42,173.52,43.3,56.7,2017
487,Skyscraper,304.87,68.42,236.45,22.4,77.6,2018
488,A Good Day to Die Hard,304.65,67.35,237.3,22.1,77.9,2013
489,Mulan,304.32,120.62,183.7,39.6,60.4,1998
490,Dangal,303.72,12.39,291.33,4.1,95.9,2016
491,Passengers,303.14,100.01,203.13,33,67,2016
492,Battleship,303.03,65.42,237.6,21.6,78.4,2012
493,Liar Liar,302.71,181.41,121.3,59.9,40.1,1997
494,G.I. Joe: The Rise of Cobra,302.47,150.2,152.27,49.7,50.3,2009
495,Wrath of the Titans,301.97,83.67,218.3,27.7,72.3,2012
496,Fantastic 4: Rise of the Silver Surfer,301.91,131.92,169.99,43.7,56.3,2007
497,Hook,300.85,119.65,181.2,39.8,60.2,1991
498,Rocky IV,300.47,127.87,172.6,42.6,57.4,1985
499,Rambo: First Blood Part II,300.4,150.42,149.99,50.1,49.9,1985
500,Resident Evil: Afterlife,300.23,60.13,240.1,20,80,2010
501,Superman,300.22,134.45,165.77,44.8,55.2,1978
502,Van Helsing,300.16,120.18,179.98,40,60,2004
503,Stuart Little,300.14,140.04,160.1,46.7,53.3,1999
504,Beverly Hills Cop II,299.97,153.67,146.3,51.2,48.8,1987
505,Alice Through the Looking Glass,299.46,77.04,222.42,25.7,74.3,2016
506,My Best Friend's Wedding,299.29,127.12,172.17,42.5,57.5,1997
507,Real Steel,299.27,85.47,213.8,28.6,71.4,2011
508,Horton Hears a Who!,298.57,154.53,144.04,51.8,48.2,2008
509,Ocean's Eight,297.72,140.22,157.5,47.1,52.9,2018
510,The Divergent Series: Insurgent,297,130.18,166.82,43.8,56.2,2015
511,Look Who's Talking,297,140.09,156.91,47.2,52.8,1989
512,Austin Powers in Goldmember,296.94,213.31,83.63,71.8,28.2,2002
513,Miss Peregrine's Home for Peculiar Children,296.48,87.24,209.24,29.4,70.6,2016
514,X-Men,296.34,157.3,139.04,53.1,46.9,2000
515,Ferdinand,296.07,84.41,211.66,28.5,71.5,2017
516,Ghostbusters,295.21,243.19,52.03,82.4,17.6,1984
517,Shutter Island,294.8,128.01,166.79,43.4,56.6,2010
518,Doctor Dolittle,294.46,144.16,150.3,49,51,1998
519,Bee Movie,293.51,126.63,166.88,43.1,56.9,2007
520,Salt,293.5,118.31,175.19,40.3,59.7,2010
521,G-Force,292.82,119.44,173.38,40.8,59.2,2009
522,The Departed,291.47,132.38,159.08,45.4,54.6,2006
523,What Lies Beneath,291.42,155.46,135.96,53.4,46.6,2000
524,Pacific Rim: Uprising,290.93,59.87,231.06,20.6,79.4,2018
525,The Bourne Supremacy,290.84,176.24,114.59,60.6,39.4,2004
526,Sex and the City 2,290.75,95.35,195.4,32.8,67.2,2010
527,Shakespeare in Love,289.32,100.32,189,34.7,65.3,1998
528,Divergent,288.89,150.95,137.94,52.2,47.8,2014
529,Coming to America,288.75,128.15,160.6,44.4,55.6,1988
530,Wedding Crashers,288.47,209.26,79.21,72.5,27.5,2005
531,Bridesmaids,288.38,169.11,119.28,58.6,41.4,2011
532,Maze Runner: The Death Cure,288.18,58.03,230.14,20.1,79.9,2018
533,Casper,287.93,100.33,187.6,34.8,65.2,1995
534,American Pie 2,287.55,145.1,142.45,50.5,49.5,2001
535,Pitch Perfect 2,287.14,184.3,102.85,64.2,35.8,2015
536,The Green Mile,286.8,136.8,150,47.7,52.3,1999
537,Oblivion,286.17,89.11,197.06,31.1,68.9,2013
538,Elysium,286.14,93.05,193.09,32.5,67.5,2013
539,Lethal Weapon 4,285.44,130.44,155,45.7,54.3,1998
540,John Carter,284.14,73.08,211.06,25.7,74.3,2012
541,Turbo,282.57,83.03,199.54,29.4,70.6,2013
542,Paddington,282.38,76.27,206.11,27,73,2014
543,Bridget Jones's Diary,281.93,71.54,210.39,25.4,74.6,2001
544,The Tourist,278.78,67.63,211.15,24.3,75.7,2010
545,Split,278.45,138.29,140.16,49.7,50.3,2017
546,Scary Movie,278.02,157.02,121,56.5,43.5,2000
